BPCL | ROE Difference = 19.38%
BPCL | ROE Difference = 12.80%
BPCL | ROE Difference = 11.05%
BPCL | ROE Difference = 15.16%
BPCL | ROE Difference = 19.90%
BPCL | ROE Difference = 31.86%
BPCL | ROE Difference = 9.56%
BPCL | ROE Difference = 19.39%
BPCL | ROE Difference = 37.92%
BPCL | ROE Difference = 6.39%
BRITANNIA | ROE Difference = 10.51%
BRITANNIA | ROE Difference = 7.60%
BRITANNIA | ROE Difference = 17.66%
BRITANNIA | ROE Difference = 24.27%
BRITANNIA | ROE Difference = 27.62%
BRITANNIA | ROE Difference = 29.94%
BRITANNIA | ROE Difference = 25.44%
BRITANNIA | ROE Difference = 8.43%
CANBK | ROE Difference = 6.00%
CANBK | ROE Difference = 9.05%
CANBK | ROE Difference = 8.88%
CANBK | ROE Difference = 25.72%
CANBK | ROE Difference = 13.83%
CANBK | ROE Difference = 28.40%
CANBK | ROE Difference = 16.05%
CANBK | ROE Difference = 22.56%
CANBK | ROE Difference = 13.16%
CANBK | ROE Difference = 9.10%
CHOLAFIN | ROE Difference = 7.35%
CIPLA | ROE Difference = 5.42%
CIPLA | ROE Difference = 8.55%
CIPLA | ROE Difference = 6.84%
CIPLA | ROE Difference = 6.86%
CIPLA | ROE Difference = 7.28%
COALINDIA | ROE Difference = 16.19%
COALINDIA | ROE Difference = 16.36%
COALINDIA | ROE Difference = 17.98%
COALINDIA | ROE Difference = 11.04%
COALINDIA | ROE Difference = 14.15%
COALINDIA | ROE Difference = 17.12%
COALINDIA | ROE Difference = 14.01%
COALINDIA | ROE Difference = 17.22%
COALINDIA | ROE Difference = 11.72%
COALINDIA | ROE Difference = 6.83%
DABUR | ROE Difference = 17.36%
DABUR | ROE Difference = 15.29%
DABUR | ROE Difference = 12.64%
DABUR | ROE Difference = 10.86%
DABUR | ROE Difference = 7.21%
DABUR | ROE Difference = 6.47%
DIVISLAB | ROE Difference = 11.87%
DIVISLAB | ROE Difference = 13.88%
DIVISLAB | ROE Difference = 12.17%
DIVISLAB | ROE Difference = 14.03%
DIVISLAB | ROE Difference = 7.59%
DIVISLAB | ROE Difference = 7.25%
DIVISLAB | ROE Difference = 6.64%
DIVISLAB | ROE Difference = 9.14%
DIVISLAB | ROE Difference = 13.04%
DLF | ROE Difference = 5.10%
DLF | ROE Difference = 5.68%
DLF | ROE Difference = 5.73%
DLF | ROE Difference = 8.66%
DMART | ROE Difference = 6.54%
DMART | ROE Difference = 5.48%
DRREDDY | ROE Difference = 10.86%
DRREDDY | ROE Difference = 13.87%
DRREDDY | ROE Difference = 7.50%
DRREDDY | ROE Difference = 8.41%
DRREDDY | ROE Difference = 10.33%
DRREDDY | ROE Difference = 10.04%
EICHERMOT | ROE Difference = 12.43%
EICHERMOT | ROE Difference = 6.99%
EICHERMOT | ROE Difference = 5.90%
